Gene_id	Max_aMAFC	Max_Time	PassMaxtime	On_trans	Off_trans	12B-10G_MaxVal	12B-3D7B_MaxVal	10G-3D7B_MaxVal	12B-10G_MaxTime	12B-3D7B_MaxTime	10G-3D7B_MaxTime	A7-B11_MaxVal	A7-E5_MaxVal	A7-B11_MaxTime	A7-E5_MaxTime	E5-B11_MaxVal	E5-B11_MaxTime	Is_3D7B	Is_tRNA.x	Is_tRNA.y
PF3D7_0706800	-6.694790833785661	Left	TRUE	B11	A7	0.248536190853207	0.926285302236698	0.677749111383491	Left	Left	Left	-6.69479083378566	-0.554252545925646	Left	Left	-6.14053828786002	Left	FALSE	TRUE	TRUE
PF3D7_1040200	6.230927079815865	Mid	TRUE	A7	B11	0.402235008866052	-2.66180744422162	-2.87556545822973	Mid	Left	Left	6.23092707981587	2.93917403026595	Mid	Mid	3.30747589382657	Left	FALSE	FALSE	FALSE
PF3D7_1372500	5.835632878442427	Left	TRUE	A7	B11	0.50673380572043	-4.93739153535459	-5.03507386579587	Sides	Mid	Mid	5.83563287844243	3.84458555174501	Left	Mid	2.29917526558886	Left	FALSE	FALSE	FALSE
PF3D7_0413100	5.720122421654992	Left	TRUE	A7	B11	1.22655097367237	0.253108982064082	-1.18004499093044	Left	Sides	Left	5.72012242165499	2.77668776243213	Left	Mid	3.69533548853715	Left	FALSE	FALSE	FALSE
PF3D7_0711700	5.407833955959371	Left	TRUE	12B	10G	5.4078339559593704	4.34412111242385	-1.06371284353552	Left	Left	Left	0.916075371937142	0.249969841371465	Left	Mid	0.823150960055493	Sides	FALSE	FALSE	FALSE
PF3D7_1200600	-5.276971899789808	Left	TRUE	B11	E5	-0.596413150287874	-1.8152168485431	-1.25190007870993	Sides	Left	Left	-4.78164346585507	0.699598323801319	Left	Mid	-5.27697189978981	Left	FALSE	FALSE	FALSE
PF3D7_0412700	5.264813455602756	Left	TRUE	A7	B11	0.442900158345807	-3.85638400732448	-3.73588869404327	Right	Left	Left	5.26481345560276	4.17915307923224	Left	Left	1.08566037637052	Left	FALSE	FALSE	FALSE
PF3D7_0632500	-5.098727594697985	Left	TRUE	A7	12B	-0.600036826598807	-5.09872759469799	-4.49869076809918	Left	Left	Left	4.90217158240239	1.4706243665705	Left	Mid	4.25187822231432	Left	TRUE	FALSE	FALSE
PF3D7_1149700	4.904089179317913	Left	TRUE	A7	B11	-0.559321518188156	-2.15041338089774	-1.59109186270959	Left	Left	Left	4.90408917931791	-0.397697763092758	Left	Right	4.86828115595332	Left	FALSE	FALSE	FALSE
PF3D7_0412400	4.866056710576774	Left	TRUE	A7	B11	0.507351356062808	-3.28278097593353	-3.09730882225462	Right	Left	Left	4.86605671057677	0.943488892131222	Left	Mid	4.51344428053927	Left	FALSE	FALSE	FALSE
