Old_id	Gene_id
PF13_0083	PF3D7_1314600
PF02_0090	PF3D7_0209400,PF3D7_0209500
PFB0423c	PF3D7_0209400
PFB0425c	PF3D7_0209400,PF3D7_0209500
PF11_0434	PF3D7_1142200
MAL5P1.73	PF3D7_0507200
PFE0355c	PF3D7_0507200
PF08_0117	PF3D7_0806000
PF10_0068	PF3D7_1006800
MAL4P2.52	PF3D7_0412000
PFD0595w	PF3D7_0412000
1791.m00049	PF3D7_0732200
PF07_0132	PF3D7_0732200
MAL3P7.54	PF3D7_0324800
PFC1115w	PF3D7_0324800
2277.t00266	PF3D7_1227500
MAL12P1.266	PF3D7_1227500
PFL1330c	PF3D7_1227500
MAL3P8.16	PF3D7_0301800
PFC0090w	PF3D7_0301800
PFI1025w	PF3D7_0920900
PF14_0414	PF3D7_1443600
MAL4P1.149	PF3D7_0415900
PFD0770c	PF3D7_0415900
PF02_0132	PF3D7_0214100
PFB0640c	PF3D7_0214100
PF07_0107	PF3D7_0726100
PF07_0073	PF3D7_0717700
PF13_0230	PF3D7_1342200
PF14_0007	PF3D7_1400700
MAL13P1.128	PF3D7_1322800
PF14_0745	PF3D7_1477400
PF11_0078	PF3D7_1106700
2270.t00101	PF3D7_0621100
MAL6P1.216	PF3D7_0621100
PFF1020c	PF3D7_0621100
PF10_0401	PF3D7_1040800
PFI0440w	PF3D7_0909100
PF13_0232	PF3D7_1342400
PF10_0279	PF3D7_1028500
PF14_0185	PF3D7_1419100
PF14_0463	PF3D7_1448500
PF11_0261	PF3D7_1125000
PF14_0648	PF3D7_1468000
MAL5P1.10	PF3D7_0500900
PFE0045c	PF3D7_0500900
2277.t00077	PF3D7_1207600
MAL12P1.76	PF3D7_1207600
PFL0380c	PF3D7_1207600
MAL3P4.16	PF3D7_0311400
PFC0485w	PF3D7_0311400
MAL7P1.119	PF3D7_0722200
PFC10_API0031	PF3D7_API02500
MAL5P1.159	PF3D7_0515900
PFE0795c	PF3D7_0515900
MAL3P7.2	PF3D7_0319500
PFC0865w	PF3D7_0319500
PF14_0476	PF3D7_1450000
PFC0032c	PF3D7_0300600
PF14_0417	PF3D7_1443900
2277.t00219	PF3D7_1222800
MAL12P1.219	PF3D7_1222800
PFL1095c	PF3D7_1222800
PF14_0668	PF3D7_1470100
MAL5P1.198	PF3D7_0519700
PFE0990w	PF3D7_0519700
PF14_0665	PF3D7_1469700
PF14_0531	PF3D7_1455700
PF11_0330	PF3D7_1132100
MAL5P1.313	PF3D7_0532200
PFE1595c	PF3D7_0532200
MAL5P1.88	PF3D7_0508700
PFE0430w	PF3D7_0508700
2277.t00265	PF3D7_1227400
MAL12P1.265	PF3D7_1227400
PFL1325c	PF3D7_1227400
PF11_0272	PF3D7_1126200
2277.t00409	PF3D7_1242500
MAL12P1.407	PF3D7_1242500
PFL2045w	PF3D7_1242500
PF08_0114	PF3D7_0806700
PFI0540w	PF3D7_0911100
MAL3P2.2	PF3D7_0303500
PFC0165w	PF3D7_0303500
MAL4P1.209	PF3D7_0422800
PFD1045w	PF3D7_0422800
PFD1075w	PF3D7_0422800,PF3D7_0403100
PFI1285w	PF3D7_0926300
PFI1290w	PF3D7_0926300
PF14_0345	PF3D7_1436400,PF3D7_1436500
PF14_0345a	PF3D7_1436400
2277.t00151	PF3D7_1215600
MAL12P1.150	PF3D7_1215600
PFL0750w	PF3D7_1215600
MAL8P1.118	PF3D7_0808700
PF08_0106	PF3D7_0808700
PF14_0424	PF3D7_1444700
2277.t00097	PF3D7_1209600
MAL12P1.96	PF3D7_1209600
PFL0480w	PF3D7_1209600
MAL5P1.237	PF3D7_0523800
PFE1185w	PF3D7_0523800
PF14_0570	PF3D7_1459700
PF14_0087	PF3D7_1409000
PF10_0283	PF3D7_1028900
PF14_0449	PF3D7_1447100
PF13_0347	PF3D7_1366000
PF10_0257	PF3D7_1026000
PFI0970c	PF3D7_0919800
PF02_0047	PF3D7_0205000
PFB0225c	PF3D7_0205000
PF13_0285	PF3D7_1354200
PF13_0276	PF3D7_1353200
MAL8P1.218	PF3D7_0700300
2270.t00206	PF3D7_0610800
MAL6P1.110	PF3D7_0610800
PFF0530w	PF3D7_0610800
PFI0700c	PF3D7_0914300
PF10_0054a	PF3D7_1005200
2270.t00263	PF3D7_0605000
MAL6P1.53	PF3D7_0605000
PFF0245w	PF3D7_0605000
MAL4P2.43	PF3D7_0410900
PFD0540c	PF3D7_0410900
PF11_0145	PF3D7_1113700
PF11_0100	PF3D7_1108800
PF11_0305	PF3D7_1129400
2277.t00146	PF3D7_1215000
MAL12P1.145	PF3D7_1215000
PFL0725w	PF3D7_1215000
2270.t00246	PF3D7_0607000
MAL6P1.73	PF3D7_0607000
PFF0345w	PF3D7_0607000
MAL5P1.197	PF3D7_0519600
PFE0985w	PF3D7_0519600
PF14_0578	PF3D7_1460600
MAL13P1.120	PF3D7_1321700
PF08_0048	PF3D7_0820000
2270.t00125	PF3D7_0623900
MAL6P1.190	PF3D7_0623900
PFF1150w	PF3D7_0623900
MAL3P4.12	PF3D7_0311900
PFC0505c	PF3D7_0311900
MAL13P1.510	PF3D7_1372900
PFI0275w	PF3D7_0905600
PF14_0357	PF3D7_1437700
PF13_0035	PF3D7_1307100
PF11_0109	PF3D7_1110300
PF11_0110	PF3D7_1110300
MAL5P1.315	PF3D7_0532400
PFE1605w	PF3D7_0532400
MAL5P1.274	PF3D7_0527500
PFE1370w	PF3D7_0527500
2270.t00097	PF3D7_0620600
MAL6P1.219	PF3D7_0620600
PFF1005w	PF3D7_0620600
PF14_0132	PF3D7_1413400
2277.t00143	PF3D7_1214700
MAL12P1.142	PF3D7_1214700
PFL0710w	PF3D7_1214700
MAL13P1.155	PF3D7_1327000
MAL7P1.77	PF3D7_0716300
PF14_0245	PF3D7_1426600
PFB0467w	PF3D7_0210400
PFI1020c	PF3D7_0920800
2277.t00480	PF3D7_1250000
MAL12P1.478	PF3D7_1250000
PFL2400w	PF3D7_1250000
MAL14_5S_1	PF3D7_1418500
MAL14_5S_1:rRNA	PF3D7_1418500
PF10_0089	PF3D7_1009200
PFI1075w	PF3D7_0921900
PF14_0602	PF3D7_1463300
MAL3P6.22	PF3D7_0318400
PFC0815c	PF3D7_0318400
MAL13P1.114	PF3D7_1321100
MAL13P1.305	PF3D7_1361300
PF13_0325	PF3D7_1361300
2277.t00507	PF3D7_1252900
MAL12P1.504	PF3D7_1252900
PFL2545c	PF3D7_1252900
2277.t00430	PF3D7_1244800
MAL12P1.428	PF3D7_1244800
PFL2150c	PF3D7_1244800
PF10_0195a	PF3D7_1020100
PFF1085a	PF3D7_0622600
MAL5P1.249	PF3D7_0525000
PFE1245w	PF3D7_0525000
MAL7P1.185	PF3D7_0732500
PF07_0135	PF3D7_0732500
MAL13P1.176	PF3D7_1335300
PF02_0066	PF3D7_0207000
PFB0310c	PF3D7_0207000
MAL4P2.55	PF3D7_0412300
PFD0610w	PF3D7_0412300
PF14_0315	PF3D7_1433400
PF14_0705	PF3D7_1473600
PF10_0069	PF3D7_1006900
2296.t00403	PF3D7_1014800
PF10_0145	PF3D7_1014800
PF14_0686	PF3D7_1471900
PF14_0687	PF3D7_1471900
PF10_0262	PF3D7_1026600
MAL1P2.04	PF3D7_0107600
PFA0380w	PF3D7_0107600
PFI1085w	PF3D7_0922100
PF14_0677	PF3D7_1471000
PF14_0271	PF3D7_1429200
MAL8P1.168	PF3D7_0800100
PF08_0142	PF3D7_0800100
PF14_0162	PF3D7_1416400
PF14_0163	PF3D7_1416400
MAL5P1.162	PF3D7_0516200
PFE0810c	PF3D7_0516200
PF10_0289	PF3D7_1029600
MAL5P1.171	PF3D7_0517100
PFE0855c	PF3D7_0517100
PF11_0263	PF3D7_1125200
PF11_0157	PF3D7_1114800
MAL5P1.209	PF3D7_0520800
PFE1045c	PF3D7_0520800
MAL8P1.202	PF3D7_0805600
PF13_0122	PF3D7_1320900
2277.t00410	PF3D7_1242600
MAL12P1.408	PF3D7_1242600
PFL2050w	PF3D7_1242600
MAL3P4.2	PF3D7_0313500
PFC0565w	PF3D7_0313500
PF13_0058	PF3D7_1310700
2277.t00100	PF3D7_1209900
MAL12P1.99	PF3D7_1209900
PFL0495c	PF3D7_1209900
MAL13P1.12	PF3D7_1302400
MAL13P1.1	PF3D7_1300100
PF13_0001	PF3D7_1300100
PF14_0456	PF3D7_1448000
