Name,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP24,TP25,TP26,TP27,TP28,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48
PF3D7_1318700,1.532,1.89226024,0.88033046,1.0297206,0.93280719,0.58976927,0.598,0.71285107,0.50235855,0.57034909,0.522,0.48271247,0.55816251,0.451,0.617045981,0.45439907,0.57542097,0.718,0.84304198,0.895,0.62888763,0.54904459,0.70639127,0.679745,0.90164692,0.848,0.78881754,0.67145005,0.866,0.94110607,1.23903589,1.00018064,1.39850954,2.11269116,1.78820013,1.38986563,1.78970109,2.61560298,2.10745586,2.60944896,1.3475322,1.70820484,0.9989218,1.10140117,1.4262623,1.2399389
PF3D7_1319400,0.52175,0.521301425,0.532809555,0.37191382,0.32575187,0.258737483,0.21275,0.264950878,0.16170479,0.234690933,0.14375,0.164561063,0.249891648,0.18725,0.240336467,0.23391623,0.380051868,0.44925,0.500273453,0.65525,0.635390175,0.814914968,1.193332145,1.23273755,1.787719895,1.485,1.811659215,1.991266215,2.008,1.6943294,1.41115029,1.530292885,1.735392605,1.568896778,1.49286728,1.196676115,0.699069261,0.81408852,0.534256533,0.607068335,0.572701175,0.590693785,0.55916655,0.65413601,0.6394892,0.649234775
PF3D7_1319700,0.5515,0.552684115,0.669470403,0.454139685,0.42987069,0.281884344,0.386785715,0.371819325,0.413209415,0.2990479,0.679,0.2891112,0.348851575,0.6445,0.685653434,0.348100065,0.538703665,0.9475,0.90719543,1.0415,0.899671595,1.069093625,1.720870175,1.39427695,1.282387825,1.773,1.79231323,2.13582076,2.0925,1.80510307,1.670494255,1.23994437,1.310982445,1.19047613,1.248106775,0.962742875,0.65543876,0.81707708,0.737552665,0.643889955,0.693797,0.81722518,0.75033955,0.771324635,0.667813,0.63644895
PF3D7_1371700,2.261,1.90039646,0.96081788,0.93610963,0.65393927,0.648112,0.512,0.47128693,0.44769778,0.38074654,0.291,0.34202886,0.43998014,0.42,0.526972423,0.52448633,0.73544284,0.853,0.8183676,0.935,0.84254224,0.80906911,0.98515873,0.7573159,0.60492308,0.545,0.48926657,0.50919043,0.586,0.76507178,1.00642353,1.40074641,1.84480143,2.26028875,2.31945564,2.38236518,2.50531977,4.03816594,3.84414511,3.90504938,2.2993028,2.22975374,1.9048406,1.29738403,1.4615098,1.2649423
PF3D7_1320300,0.539,0.53931739,0.56424991,0.53257048,0.4469194,0.64557539,0.7,0.71521932,0.91101288,0.88327035,1.151,0.80538122,1.04085921,0.907,1.114555117,0.87725886,1.13659342,1.34,1.37354156,1.561,1.41569394,1.30573467,2.02083841,1.7601397,1.62214472,1.419,1.46363923,1.51233143,1.25,1.40902608,1.01955492,1.00182575,0.973378,0.71967245,0.8916451,0.62992594,0.49713917,0.65150991,0.41625948,0.46271444,0.4479634,0.39906403,0.5052018,0.53522824,0.5576648,0.7398719
PF3D7_1320500,0.349,0.34753427,0.34039445,0.51992036,0.4493549,0.37795967,0.569,0.85731588,1.0099229,1.26864135,1.224,1.12030586,1.59759782,1.248,1.308171203,1.19265157,1.32949658,1.471,1.23372,1.393,1.18996319,1.05412816,1.2413722,1.3251029,1.34509327,1.309,1.29555794,1.35634702,1.393,1.13745187,1.12460565,1.04377412,0.95125583,0.7616893,0.72176119,0.57499054,0.37023785,0.5212079,0.35029487,0.30239366,0.3860498,0.42672193,0.4305697,0.56731901,0.4468871,0.5625754
PF3D7_1321100,1.262,1.07863478,0.64725253,0.63883156,0.63932607,0.58342767,0.394,0.5518083,0.32015597,0.31908719,0.224,0.15359033,0.18937657,0.146,0.146474762,0.0665829,0.08987528,0.233,0.10034256,0.183,0.0873197,0.12440022,0.19306224,0.2087217,0.3672162,0.463,0.65568376,1.05154991,1.195,1.71670985,1.34033486,1.87369382,2.97592068,3.87308766,4.2961975,4.13755126,3.46950811,3.52532588,2.16318449,2.67592328,1.6085408,1.62391407,1.1906688,1.20455005,1.0725291,1.213799
PF3D7_1321200,1.044,1.07631017,1.05723504,1.63566179,1.16905341,1.29115079,1.025,1.33807593,2.26321628,1.76962363,1.583,1.67916817,1.64743371,1.326,1.341001783,1.22068639,1.02589343,1.492,1.02563254,1.041,0.9122122,0.72021178,0.82276992,0.791703,0.67705483,0.816,0.68231051,0.86777521,1.056,0.74927386,1.11335024,1.12931586,1.10803502,1.06119371,1.31095402,1.02729196,1.07800707,1.00416201,0.75063189,0.62824891,0.8206593,0.88900404,1.0471456,1.25612445,1.0473524,1.1149222
PF3D7_1321300,1.4565,1.65049726,1.547704875,2.008840645,1.29387425,1.67672032,1.6045,2.0278363,2.062793545,2.491808915,2.389,1.70949907,1.95997634,2.1955,1.793894964,1.7650308,1.731743185,1.7895,1.647427455,1.2985,1.069201905,1.157483205,0.893589455,1.2771209,1.00246746,0.8845,0.70311267,0.779921945,0.643,0.67066029,0.61342125,0.659658625,0.705025795,0.659340665,0.652040035,0.475648995,0.508259405,0.70291343,0.527716925,1.041433335,0.9851553,0.89756483,1.1269446,0.79080834,0.891886,1.1075348
PF3D7_1321500,0.9965,0.872322685,0.69546109,0.64768665,0.47005691,0.65508781,0.4675,0.4256976,0.406051475,0.359165775,0.3085,0.21618806,0.282640965,0.2945,0.224342096,0.194492155,0.25811743,0.359,0.262371115,0.2625,0.268926095,0.26049219,0.455590795,0.49861295,0.631152815,0.8025,0.988518135,1.21694718,1.506,1.7182144,2.016598985,2.06904147,2.46999492,2.69715572,2.57428156,2.47071965,2.04481197,2.17150042,1.41368997,1.397267265,1.02825205,1.13726663,1.0442752,0.995960015,1.1090354,0.93421615
