GE_BrightCorner	NA	keep	NA	NA
DarkCorner	NA	keep	NA	NA
DarkCorner	NA	keep	NA	NA
PFF1065C_v7.1_P4/4	PF3D7_0622100	keep	NA	conserved Plasmodium protein%2C unknown function
PFC0210C_v7.1_P2/2	PF3D7_0304600	keep	CSP	circumsporozoite (CS) protein
PFI0530C_v7.1_P2/2	PF3D7_0910900	keep	NA	DNA primase large subunit%2C putative
PFC0500W_v7.1_P1/2	PF3D7_0311800	keep	NA	ATP synthase F0 subunit d-like protein%2C putative
PFL0730W_v7.1_P3/3	PF3D7_1215100	keep	NA	SUN domain-containing protein%2C putative
PF10_0342_v7.1_P1/2	PF3D7_1035100	keep	NA	probable protein%2C unknown function
PF14_0466_v7.1_P1/1	PF3D7_1448800	keep	NA	Appr-1-p processing domain protein
MAL7P1.201_v7.1_P3/4	PF3D7_0705600	keep	NA	RNA helicase%2C putative
PFF0195C_v7.1_P1/6	PF3D7_0604000	keep	NA	conserved Plasmodium protein%2C unknown function
PFL0520C_v7.1_P2/3	PF3D7_1210400	keep	NA	general transcription factor 3C polypeptide 5%2C putative
PFL1960W_v7.1_P2/7	PF3D7_1240600	keep	VAR	erythrocyte membrane protein 1%2C PfEMP1
MAL8P1.90_v7.1_P1/1	NA	drop	NA	NA
PF14_0191_v7.1_P1/2	PF3D7_1419700	keep	NA	conserved Plasmodium protein%2C unknown function
MAL13P1.380_v7.1_P5/22	PF3D7_1343800	keep	NA	conserved Plasmodium protein%2C unknown function
PF08_0108_v7.1_P1/2	PF3D7_0808200	keep	PMX	plasmepsin X
PF07_0066_v7.1_P3/4	PF3D7_0716000	keep	NA	RNA-binding protein%2C putative
PF14_0343_v7.1_P5/7	PF3D7_1436200	keep	NA	conserved Plasmodium protein%2C unknown function
MAL13P1.189_v7.1_P2/2	PF3D7_1338000	keep	NA	LMBR1 domain-containing protein%2C putative
PFC0640W_v7.1_P5/6	PF3D7_0315200	keep	CTRP	circumsporozoite- and TRAP-related protein
PF08_0090_v7.1_P1/4	PF3D7_0811700	keep	NA	conserved Plasmodium protein%2C unknown function
PF14_0476_v7.1_P1/2	PF3D7_1450000	keep	NA	serine/threonine protein kinase%2C putative
PFL0655W_v7.1_P2/2	PF3D7_1213500	keep	NA	integral membrane protein GPR180%2C putative
PFB1000W_v7.1_P1/2NU	NA	drop	NA	NA
PF14_0183B_v7.1_P2/3	PF3D7_1418900	keep	DBP4	ATP-dependent RNA helicase DBP4%2C putative
PF11_0044_v7.1_P3/5	PF3D7_1103400	keep	SufD	FeS cluster assembly protein SufD
PF13_0132_v7.1_P1/1	PF3D7_1323400	keep	RPL23	60S ribosomal protein L23
PFI1820W_v7.1_P1/4	PF3D7_0937600	keep	VAR	erythrocyte membrane protein 1%2C PfEMP1
PF11_0316_v7.1_P3/3	PF3D7_1130600	keep	NA	methyltransferase%2C putative
MAL8P1.23_v7.1_P4/25	PF3D7_0826100	keep	HEUL	HECT-like E3 ubiquitin ligase%2C putative
PF08_0070_v7.1_P2/3	PF3D7_0815100	keep	NA	heptatricopeptide repeat and RAP domain-containing protein%2C putative
PFL0835W_v7.1_P2/3	PF3D7_1217300	keep	NA	GTP-binding protein EngA
PFE0570W_v7.1_P19/29	PF3D7_0511500	keep	NA	RNA pseudouridylate synthase%2C putative
PFC10_API0009:tRNA_v6.4_P1/1	PF3D7_API	keep	PF3D7_API	PF3D7_API
PFD0872W_v7.1_P13/14	PF3D7_0418000	keep	NA	conserved Plasmodium protein%2C unknown function
PF14_0123_v7.1_P10/10	PF3D7_1412400	keep	NA	conserved Plasmodium protein%2C unknown function
PF11_0353_v7.1_P3/6	PF3D7_1134200	keep	NA	conserved Plasmodium protein%2C unknown function
MAL7P1.50_v7.1_P3/7	PF3D7_0712300	keep	VAR	erythrocyte membrane protein 1%2C PfEMP1
PF14_0568_v7.1_P2/3	PF3D7_1459500	keep	NA	conserved Plasmodium protein%2C unknown function
PFA_ASR_7602_v7.1_P1/1	PF3D7_1233600	keep	AARP1	asparagine and aspartate rich protein 1
PF11_0049_v7.1_P5/10	PF3D7_1103800	keep	NOT1	CCR4-NOT transcription complex subunit 1%2C putative
PF11_0466_v7.1_P1/3	PF3D7_1145500	keep	ABCB3	ABC transporter B family member 3%2C putative
MAL13P1.25_v7.1_P2/4	PF3D7_1304600	keep	NA	conserved Plasmodium protein%2C unknown function
PFD0225W_v7.1_P5/12	PF3D7_0404600	keep	NA	conserved Plasmodium membrane protein%2C unknown function
PFB0460C_v7.1_P7/8	PF3D7_0210200	keep	NA	conserved Plasmodium protein%2C unknown function
PF08_0071_v7.1_P1/1	PF3D7_0814900	keep	FeSOD	superoxide dismutase [Fe]
PF08_0125_v7.1_P1/2	PF3D7_0803700	keep	g-tub	tubulin gamma chain
MAL7P1.162_v7.1_P6/15	PF3D7_0729900	keep	NA	dynein heavy chain%2C putative
PF10_0208_v7.1_P2/2	PF3D7_1021400	keep	NA	endomembrane protein 70%2C putative
PFE0385W_v7.1_P4/5	PF3D7_0507800	keep	NA	conserved protein%2C unknown function
PFC10_API0046:tRNA_v6.4_P1/1	PF3D7_API01000	keep	NA	tRNA Lysine
PF10_0138_v7.1_P1/5	PF3D7_1014100	keep	MSA180	merozoite surface protein MSA180%2C putative
PF13_0338_v7.1_P1/3	PF3D7_1364100	keep	P92	6-cysteine protein
