ID	Old_Name	Old_Family	Annotation
PF3D7_0100200	['MAL1P4.02', 'PFA0010c']	rifA	rifin
PF3D7_0100300	['MAL1P4.03', 'PFA0015c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0100400	['MAL1P4.04', 'PFA0020w']	rifA	rifin
PF3D7_0100600	['MAL1P4.06', 'PFA0030c']	rifB	rifin
PF3D7_0100800	['MAL1P4.07', 'PFA0040w']	rifA	rifin
PF3D7_0100900	['MAL1P4.08', 'PFA0045c']	rifA	rifin
PF3D7_0101000	['MAL1P1.9a', 'PFA0050c']	rifA	rifin
PF3D7_0101200	['MAL1P1.3', 'PFA0060w']	hyp4	exported protein family 3
PF3D7_0101300	['MAL1P1.4', 'PFA0065w']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0101500	['MAL1P1.6', 'PFA0075w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0101600	['MAL1P1.7', 'PFA0080c']	rifA	rifin
PF3D7_0101700	['MAL1P1.8', 'PFA0085c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0101800	['MAL1P1.9b', 'PFA0090c']	stevor	stevor
PF3D7_0101900	['MAL1P1.10', 'PFA0095c']	rifB	rifin
PF3D7_0102000	['MAL1P1.11', 'PFA0100c']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_0102100	['MAL1P1.11a', 'PFA0105w']	stevor pseudogene	stevor%2C pseudogene
PF3D7_0102200	['MAL1P1.13', 'PFA0110w']	PHISTb_dnaj	ring-infected erythrocyte surface antigen
PF3D7_0102400	['MAL1P1.15', 'PFA0120c']	Lysophospholipase	lysophospholipase%2C putative%2C pseudogene
PF3D7_0102600	['MAL1P1.17', 'PFA0130c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0114000	['MAL1P4.13', 'PFA0675w']	dnaj_III	exported protein family 1
PF3D7_0114100	['MAL1P4.14', 'PFA0680c']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0114200	['MAL1P4.15', 'PFA0685c']	hyp4	exported protein family 3
PF3D7_0114400	['MAL1P4.16c', 'PFA0695c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0114500	['MAL1P4.16d', 'PFA0700c']	hyp10	Plasmodium exported protein (hyp10)%2C unknown function
PF3D7_0114600	['MAL1P4.16e', 'PFA0705c']	stevor pseudogene	stevor%2C pseudogene
